round,n,m,W,P,Lmax,seen,quick,exact,deg2,survivors
480,9,19,5;9,1;2;5;6;8,9,32403,0,32403,0,0
481,9,17,3;6;7;8;9,2;3;6;7,9,32403,0,32403,0,0
482,10,15,7;10,1;3;4;5;6;9,10,136433,0,136433,0,0
483,6,11,5,2;5,5,9,3,6,0,0
484,9,8,3;4;5;6;7,3;6;8,7,345,1,0,8,336
485,6,13,4;5,5,5,2,1,1,0,0
486,10,15,5;8;10,1;2;4;7;8,10,136433,0,136433,0,0
487,9,14,3;4;5;6;7;8,1;5;6,8,15615,59,2725,7009,5822
488,6,10,5,1;2;4;5,5,15,1,14,0,0
489,7,12,4;5,2;3;4;5,5,131,33,98,0,0
490,6,9,3;5,2;4;5,5,21,3,18,0,0
491,6,8,3;4;6,5,6,24,0,15,3,6
492,6,7,3;5;6,1;2,6,24,0,20,0,4
493,7,10,4;7,1;2;5,7,148,0,147,0,1
494,10,11,3;9,4;5,9,6759,1,6380,0,378
495,10,19,4;6;7;8;9,2;4;5,9,828728,2802,825889,37,0
496,8,18,3;4;7,1;2;4;7,7,663,18,645,0,0
497,6,5,4;5,1;2;4;5,5,15,0,6,0,9
498,10,13,4;5;6;7;8;10,2;3;8,10,34663,0,32965,78,1620
499,6,14,3;4;5,2;5,5,1,0,1,0,0
500,9,11,3;6;7;8,4;5;6;7;8,8,3252,5,3194,0,53
